epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,106.197,1.36324,4.47283,0.01261,0.39867,0.40637,0.30508,0.23714,0.91179,2.19993,0.00796,0.00575,0.00191667,0.00575,0.00191667,0.0865833,0.08275,0.00575,0.00191667
2,120.919,1.12087,2.06474,0.01026,0.8054,0.50188,0.61114,0.47259,0.84225,1.61619,0.00728,0.0116326,0.00387754,0.0116326,0.00387754,0.072466,0.0647109,0.0116326,0.00387754
3,135.068,1.09864,1.50473,0.00997,0.75566,0.59203,0.68644,0.49911,1.04552,1.16814,0.00899,0.0173954,0.00579845,0.0173954,0.00579845,0.0582287,0.0466318,0.0173954,0.00579845
4,148.682,1.09026,1.37696,0.0095,0.80841,0.61014,0.70554,0.51276,1.06965,1.1765,0.00932,0.0230382,0.0076794,0.0230382,0.0076794,0.0438715,0.0285127,0.0230382,0.0076794
5,161.436,1.12171,1.20707,0.01033,0.82038,0.64024,0.71686,0.48049,1.22183,1.24958,0.01083,0.0285612,0.0095204,0.0285612,0.0095204,0.0293945,0.0103537,0.0285612,0.0095204
6,173.236,1.14031,1.17429,0.01066,0.84777,0.67872,0.75464,0.52743,1.04697,0.8661,0.00947,0.0285015,0.0095005,0.0285015,0.0095005,0.0285015,0.0095005,0.0285015,0.0095005
7,185.835,1.1081,1.13512,0.01036,0.79564,0.62427,0.71304,0.53393,0.91429,1.13688,0.00808,0.0282018,0.0094006,0.0282018,0.0094006,0.0282018,0.0094006,0.0282018,0.0094006
8,198.793,1.09287,1.08977,0.00985,0.88541,0.69248,0.77031,0.57774,0.91668,0.72103,0.00826,0.0279021,0.0093007,0.0279021,0.0093007,0.0279021,0.0093007,0.0279021,0.0093007
9,212.049,1.10734,1.04091,0.01016,0.82531,0.64674,0.75397,0.49051,1.29171,1.05687,0.0121,0.0276024,0.0092008,0.0276024,0.0092008,0.0276024,0.0092008,0.0276024,0.0092008
10,225.02,1.10007,1.04497,0.01002,0.81258,0.65982,0.74171,0.53554,0.90812,0.97398,0.00825,0.0273027,0.0091009,0.0273027,0.0091009,0.0273027,0.0091009,0.0273027,0.0091009
11,238.031,1.10632,1.00992,0.00998,0.7957,0.7002,0.80544,0.62912,0.79389,0.89539,0.00673,0.027003,0.009001,0.027003,0.009001,0.027003,0.009001,0.027003,0.009001
12,249.936,1.0768,0.98797,0.00994,0.91505,0.64398,0.7764,0.60585,0.78005,1.0166,0.00659,0.0267033,0.0089011,0.0267033,0.0089011,0.0267033,0.0089011,0.0267033,0.0089011
13,261.93,1.08231,0.98924,0.00964,0.83185,0.67215,0.75849,0.49703,1.22982,0.80951,0.01108,0.0264036,0.0088012,0.0264036,0.0088012,0.0264036,0.0088012,0.0264036,0.0088012
